link,food,img,tag,material,cooking_time,scrap
https://haemukja.com/recipes/5938,닭껍질유린기,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5938/mid_thumb_7._%E1%84%83%E1%85%A1%E1%86%B0%E1%84%81%E1%85%A5%E1%86%B8%E1%84%8C%E1%85%B5%E1%86%AF%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%86%AB%E1%84%80%E1%85%B5_A.jpg&convert=jpgmin&rt=600,닭고기 튀김요리 샐러드요리 술안주 손님 접대 요리 중식 요리 채소류 요리 혼밥 요리 동영상 레시피,양상추 어린잎 채소 튀김가루 풋고추 청양고추 진간장 식초 닭껍질 레몬즙 설탕 다진마늘 카레가루 소금 통후추가루,30분,6
https://haemukja.com/recipes/5937,새우부추전,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5937/mid_thumb_6._%E1%84%89%E1%85%A2%E1%84%8B%E1%85%AE%E1%84%87%E1%85%AE%E1%84%8E%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%AB_A.jpg&convert=jpgmin&rt=600,수산물 술안주 손님 접대 요리 한식 요리 채소류 요리 자취 초보 요리 혼밥 요리 동영상 레시피 아이 성장/발육  허리/관절 건강 암 예방 기미/주근깨 빈혈 예방 수유모 건강 눈 건강,부추 칵테일새우 청양고추 부침가루 소금 물,20분,118
https://haemukja.com/recipes/5935,아스파라거스 베이컨말이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5935/mid_thumb_4._%E1%84%8B%E1%85%A1%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1%E1%84%85%E1%85%A1%E1%84%80%E1%85%A5%E1%84%89%E1%85%B3%E1%84%87%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A5%E1%86%AB%E1%84%86%E1%85%A1%E1%86%AF%E1%84%8B%E1%85%B5_A.jpg&convert=jpgmin&rt=600,햄/소시지 구이요리 간식/야식 술안주 손님 접대 요리 파티/명절요리 양식 요리 이국적인맛 채소류 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피,베이컨 아스파라거스 소금 버터,15분,66
https://haemukja.com/recipes/5934,샐러드파스타,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5934/mid_thumb_3._%E1%84%89%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%84%83%E1%85%B3%E1%84%91%E1%85%A1%E1%84%89%E1%85%B3%E1%84%90%E1%85%A1_A.jpg&convert=jpgmin&rt=600,서양식면 샐러드요리 술안주 파티/명절요리 양식 요리 채소류 요리 자취 초보 요리 혼밥 요리 동영상 레시피 다이어트 요리,스파게티면 새싹채소 베이컨 옥수수통조림 메추리알 진간장 설탕 발사믹식초 레몬즙 다진마늘 올리브유,20분,75
https://haemukja.com/recipes/5932,감바스 알 아히요,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5932/mid_thumb_1._%E1%84%80%E1%85%A1%E1%86%B7%E1%84%87%E1%85%A1%E1%84%89%E1%85%B3_A.jpg&convert=jpgmin&rt=600,수산물 가을 스튜/스프요리 술안주 손님 접대 요리 파티/명절요리 양식 요리 채소류 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피,생 칵테일 새우 (대) 마늘 올리브유 페페론치노 소금 통후추 가루,15분,25
https://haemukja.com/recipes/5932,감바스 알 아히요,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5932/mid_thumb_1._%E1%84%80%E1%85%A1%E1%86%B7%E1%84%87%E1%85%A1%E1%84%89%E1%85%B3_A.jpg&convert=jpgmin&rt=600,수산물 가을 스튜/스프요리 술안주 손님 접대 요리 파티/명절요리 양식 요리 채소류 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피,생 칵테일 새우 (대) 마늘 올리브유 페페론치노 소금 통후추 가루,15분,25
https://haemukja.com/recipes/5932,감바스 알 아히요,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5932/mid_thumb_1._%E1%84%80%E1%85%A1%E1%86%B7%E1%84%87%E1%85%A1%E1%84%89%E1%85%B3_A.jpg&convert=jpgmin&rt=600,수산물 가을 스튜/스프요리 술안주 손님 접대 요리 파티/명절요리 양식 요리 채소류 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피,생 칵테일 새우 (대) 마늘 올리브유 페페론치노 소금 통후추 가루,15분,25
https://haemukja.com/recipes/5915,버터계란밥,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67205/mid_thumb_______11.19____.jpg&convert=jpgmin&rt=600,쌀밥/잡곡밥 채소밥/비빔밥 볶음밥/오므라이스 간식/야식 술안주 실생활 요리 한식 요리 달걀/유제품 요리 5분 요리 10분 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피 위 튼튼 대장 튼튼 다이어트 요리,즉석밥 계란 진간장 소금 버터,5분,58
https://haemukja.com/recipes/5914,계란말이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67181/mid_thumb_____________.jpg&convert=jpgmin&rt=600,전/부침요리 간식/야식 술안주 손님 접대 요리 실생활 요리 한식 요리 달걀/유제품 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피 간편 메인반찬 아이 간식 아이 성장/발육  위 튼튼 다이어트 요리,계란 체다치즈 스트링치즈 파 소금,15분,38
https://haemukja.com/recipes/5912,돼지고기 김치찌개,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67136/mid_thumb________11.13.jpg&convert=jpgmin&rt=600,돼지고기 찌개요리 술안주 실생활 요리 한식 요리 15분 요리 자취 초보 요리 혼밥 요리 동영상 레시피 다이어트 요리 빈혈 예방 면역력 강화,돼지고기 앞다리살 김치 두부 파 청양고추 국간장 다진마늘 통후추 고춧가루 된장,15분,97
